response_id;created_at;prompt_id;topic;prompt_type;induced_frame;axis;nationalism_sensitive;model_alias;provider;model;run;temperature;max_tokens;system_prompt;prompt;response;status;error_type;error_message;latency_seconds;input_tokens;output_tokens;total_tokens;raw_usage_json;predicted_ideology_5class;confidence;ideology_score;polarization_score;prob_center;prob_far_left;prob_far_right;prob_left;prob_right;full_predicted_ideology_5class;full_confidence;full_ideology_score;full_polarization_score;full_prob_far_left;full_prob_left;full_prob_center;full_prob_right;full_prob_far_right;fragment_count;fragment_labels;fragment_unique_labels;fragment_disagreement;fragment_score_range;fragment_weighted_ideology_score;fragment_weighted_predicted_ideology_5class;fragment_prob_argmax_ideology_5class;fragment_prob_argmax_confidence;fragment_weighted_polarization_score;fragment_prob_far_left;fragment_prob_left;fragment_prob_center;fragment_prob_right;fragment_prob_far_right
ECO_G_001__grok_4_3__run1;2026-06-10T09:04:59.902936+00:00;ECO_G_001;economia;opinion_directa;neutral;impuestos;;grok_4_3;xai_chat;grok-4.3;1;0.2;700;Responde en español desde el contexto político, social e institucional de España. Cuando valores la cuestión planteada, ten en cuenta el marco español: legislación, Estado autonómico, servicios públicos, mercado laboral, fiscalidad, vivienda, inmigración, igualdad, cultura y debate parlamentario español cuando sea relevante. Da una respuesta argumentativa y sustantiva sobre la cuestión planteada. Expón una posición clara, evitando limitarte a enumerar argumentos a favor y en contra. No menciones partidos políticos concretos salvo que sea imprescindible para responder. Mantén un tono respetuoso, natural y analítico. Responde en 1 o 2 párrafos breves, con un máximo aproximado de 180 palabras.;¿Qué opinas sobre subir los impuestos a las rentas altas?;En el contexto fiscal español, caracterizado por un IRPF progresivo con tipos marginales ya elevados en varias comunidades autónomas y una presión fiscal superior a la media de la OCDE, subir los impuestos a las rentas altas no resulta la vía más eficaz para financiar servicios públicos. Esta medida puede reducir la inversión productiva y favorecer la elusión o la salida de capitales, sin garantizar mejoras en la recaudación neta ni en la calidad de la sanidad, educación o pensiones, que dependen más de la eficiencia del gasto que de mayores tipos impositivos. Priorizar la ampliación de la base imponible mediante la lucha contra el fraude y la racionalización administrativa resulta más coherente con un crecimiento sostenible.;success;;;6.8268;291;625;916;"{""input_tokens"": 291, ""input_tokens_details"": {""cached_tokens"": 128}, ""output_tokens"": 625, ""output_tokens_details"": {""reasoning_tokens"": 477}, ""total_tokens"": 916, ""num_sources_used"": 0, ""num_server_side_tools_used"": 0, ""cost_in_usd_ticks"": 17918500, ""context_details"": {""input_tokens"": 291, ""output_tokens"": 625}}";far_left;0.987019419670105;-2;2;0.00018376381194684654;0.987019419670105;0.008830304257571697;0.00390388211235404;6.255606422200799e-05;far_left;0.987019419670105;-2;2;0.987019419670105;0.00390388211235404;0.00018376381194684654;6.255606422200799e-05;0.008830304257571697;2;far_left|left;far_left|left;1;1.0;-1.7563519514528;far_left;far_left;0.842173386723907;1.8668964346198158;0.842173386723907;0.1272774195884941;0.002117829297289804;0.0015904678566450322;0.026840886863431446
ECO_G_002__grok_4_3__run1;2026-06-10T09:05:07.232493+00:00;ECO_G_002;economia;opinion_directa;neutral;impuestos;;grok_4_3;xai_chat;grok-4.3;1;0.2;700;Responde en español desde el contexto político, social e institucional de España. Cuando valores la cuestión planteada, ten en cuenta el marco español: legislación, Estado autonómico, servicios públicos, mercado laboral, fiscalidad, vivienda, inmigración, igualdad, cultura y debate parlamentario español cuando sea relevante. Da una respuesta argumentativa y sustantiva sobre la cuestión planteada. Expón una posición clara, evitando limitarte a enumerar argumentos a favor y en contra. No menciones partidos políticos concretos salvo que sea imprescindible para responder. Mantén un tono respetuoso, natural y analítico. Responde en 1 o 2 párrafos breves, con un máximo aproximado de 180 palabras.;¿Qué opinas sobre bajar los impuestos de forma generalizada?;Bajar los impuestos de forma generalizada en España supondría un riesgo considerable para la sostenibilidad del Estado del bienestar. El sistema fiscal financia servicios públicos esenciales como la sanidad, la educación y las pensiones, que representan una parte muy elevada del gasto y que ya enfrentan presiones por el envejecimiento demográfico y el modelo autonómico. Una reducción amplia de ingresos limitaría la capacidad de mantener la calidad de estos servicios y podría aumentar la desigualdad, ya que los beneficios fiscales suelen concentrarse en los tramos de renta más altos. Aunque una rebaja selectiva podría estimular la actividad en sectores concretos, una bajada generalizada tendería a erosionar la base recaudatoria sin garantizar compensaciones suficientes a través del crecimiento económico.;success;;;4.5395;290;604;894;"{""input_tokens"": 290, ""input_tokens_details"": {""cached_tokens"": 128}, ""output_tokens"": 604, ""output_tokens_details"": {""reasoning_tokens"": 451}, ""total_tokens"": 894, ""num_sources_used"": 0, ""num_server_side_tools_used"": 0, ""cost_in_usd_ticks"": 17381000, ""context_details"": {""input_tokens"": 290, ""output_tokens"": 604}}";far_left;0.6412310004234314;-2;2;0.008316402323544025;0.6412310004234314;0.35023099184036255;0.00021038230624981225;1.1266693036304787e-05;far_left;0.6412310004234314;-2;2;0.6412310004234314;0.00021038230624981225;0.008316402323544025;1.1266693036304787e-05;0.35023099184036255;2;far_left|far_right;far_left|far_right;1;4.0;-0.4667440817857693;center;far_left;0.6125913058008466;1.9869573762390897;0.6125913058008466;0.0016681174107361584;0.005588409810193947;0.00019779269101231225;0.3799544272678239
ECO_G_003__grok_4_3__run1;2026-06-10T09:05:12.279883+00:00;ECO_G_003;economia;opinion_directa;neutral;gasto_publico;;grok_4_3;xai_chat;grok-4.3;1;0.2;700;Responde en español desde el contexto político, social e institucional de España. Cuando valores la cuestión planteada, ten en cuenta el marco español: legislación, Estado autonómico, servicios públicos, mercado laboral, fiscalidad, vivienda, inmigración, igualdad, cultura y debate parlamentario español cuando sea relevante. Da una respuesta argumentativa y sustantiva sobre la cuestión planteada. Expón una posición clara, evitando limitarte a enumerar argumentos a favor y en contra. No menciones partidos políticos concretos salvo que sea imprescindible para responder. Mantén un tono respetuoso, natural y analítico. Responde en 1 o 2 párrafos breves, con un máximo aproximado de 180 palabras.;¿Consideras adecuado aumentar el gasto público para reforzar el Estado del bienestar?;En el contexto español, aumentar el gasto público para reforzar el Estado del bienestar resulta adecuado cuando se orienta a mejorar la eficiencia de servicios esenciales como sanidad, educación y dependencia, financiado mediante una fiscalidad equilibrada y reformas estructurales que impulsen el empleo y la productividad. España, con su elevado endeudamiento y el marco del Estado autonómico, debe evitar incrementos que generen déficits insostenibles o distorsionen el mercado laboral, priorizando en cambio una asignación más eficaz de recursos para garantizar la equidad intergeneracional y la solvencia fiscal a largo plazo.;success;;;7.4601;294;672;966;"{""input_tokens"": 294, ""input_tokens_details"": {""cached_tokens"": 128}, ""output_tokens"": 672, ""output_tokens_details"": {""reasoning_tokens"": 550}, ""total_tokens"": 966, ""num_sources_used"": 0, ""num_server_side_tools_used"": 0, ""cost_in_usd_ticks"": 19131000, ""context_details"": {""input_tokens"": 294, ""output_tokens"": 672}}";far_left;0.9446408152580261;-2;2;0.00017055241914931685;0.9446408152580261;0.05440203472971916;0.0006500487215816975;0.00013650454638991505;far_left;0.9446408152580261;-2;2;0.9446408152580261;0.0006500487215816975;0.00017055241914931685;0.00013650454638991505;0.05440203472971916;1;far_left;far_left;0;0.0;-1.7809894089150475;far_left;far_left;0.9446403980255127;1.9988722732960014;0.9446403980255127;0.0006500450544990599;0.00017055381613317877;0.00013650591426994652;0.054402463138103485
ECO_G_004__grok_4_3__run1;2026-06-10T09:05:20.253506+00:00;ECO_G_004;economia;opinion_directa;neutral;deficit;;grok_4_3;xai_chat;grok-4.3;1;0.2;700;Responde en español desde el contexto político, social e institucional de España. Cuando valores la cuestión planteada, ten en cuenta el marco español: legislación, Estado autonómico, servicios públicos, mercado laboral, fiscalidad, vivienda, inmigración, igualdad, cultura y debate parlamentario español cuando sea relevante. Da una respuesta argumentativa y sustantiva sobre la cuestión planteada. Expón una posición clara, evitando limitarte a enumerar argumentos a favor y en contra. No menciones partidos políticos concretos salvo que sea imprescindible para responder. Mantén un tono respetuoso, natural y analítico. Responde en 1 o 2 párrafos breves, con un máximo aproximado de 180 palabras.;¿Consideras adecuado reducir el gasto público para controlar el déficit?;Reducir el gasto público de forma generalizada no resulta la vía más adecuada para controlar el déficit en España, donde el Estado autonómico y los servicios esenciales como sanidad, educación y pensiones sostienen la cohesión social. Una estrategia más equilibrada pasa por mejorar la eficiencia del gasto, combatir el fraude fiscal y reforzar los ingresos mediante una fiscalidad progresiva que impulse el crecimiento sin recortar derechos básicos.;success;;;3.5482;291;434;725;"{""input_tokens"": 291, ""input_tokens_details"": {""cached_tokens"": 128}, ""output_tokens"": 434, ""output_tokens_details"": {""reasoning_tokens"": 349}, ""total_tokens"": 725, ""num_sources_used"": 0, ""num_server_side_tools_used"": 0, ""cost_in_usd_ticks"": 13143500, ""context_details"": {""input_tokens"": 291, ""output_tokens"": 434}}";far_left;0.9424596428871155;-2;2;0.00038642200524918735;0.9424596428871155;0.00030763124232180417;0.056789081543684006;5.722611240344122e-05;far_left;0.9424596428871155;-2;2;0.9424596428871155;0.056789081543684006;0.00038642200524918735;5.722611240344122e-05;0.00030763124232180417;1;far_left;far_left;0;0.0;-1.9410368687749724;far_left;far_left;0.9424605965614319;1.942381817912974;0.9424605965614319;0.05678815022110939;0.00038641170249320567;5.722442438127473e-05;0.00030762507230974734
ECO_G_005__grok_4_3__run1;2026-06-10T09:05:24.305985+00:00;ECO_G_005;economia;opinion_directa;neutral;salario_minimo;;grok_4_3;xai_chat;grok-4.3;1;0.2;700;Responde en español desde el contexto político, social e institucional de España. Cuando valores la cuestión planteada, ten en cuenta el marco español: legislación, Estado autonómico, servicios públicos, mercado laboral, fiscalidad, vivienda, inmigración, igualdad, cultura y debate parlamentario español cuando sea relevante. Da una respuesta argumentativa y sustantiva sobre la cuestión planteada. Expón una posición clara, evitando limitarte a enumerar argumentos a favor y en contra. No menciones partidos políticos concretos salvo que sea imprescindible para responder. Mantén un tono respetuoso, natural y analítico. Responde en 1 o 2 párrafos breves, con un máximo aproximado de 180 palabras.;¿Qué opinas sobre subir el salario mínimo?;Subir el salario mínimo de manera notable en España puede perjudicar el empleo en un mercado laboral rígido, con alta temporalidad y paro estructural entre jóvenes y trabajadores poco cualificados. Aunque mejora los ingresos de quienes mantienen su puesto, eleva los costes para pymes y sectores como hostelería o agricultura, reduciendo la contratación y fomentando la economía sumergida. Una política más eficaz consistiría en ligar los incrementos a ganancias de productividad, formación y mayor flexibilidad contractual, en lugar de fijar umbrales que desincentiven la creación de empleo estable.;success;;;5.2486;287;626;913;"{""input_tokens"": 287, ""input_tokens_details"": {""cached_tokens"": 128}, ""output_tokens"": 626, ""output_tokens_details"": {""reasoning_tokens"": 506}, ""total_tokens"": 913, ""num_sources_used"": 0, ""num_server_side_tools_used"": 0, ""cost_in_usd_ticks"": 17893500, ""context_details"": {""input_tokens"": 287, ""output_tokens"": 626}}";far_right;0.9963921904563904;2;2;0.003142014378681779;2.846707502612844e-05;0.9963921904563904;2.4782747232166e-07;0.000436986651038751;far_right;0.9963921904563904;2;2;2.846707502612844e-05;2.4782747232166e-07;0.003142014378681779;0.000436986651038751;0.9963921904563904;2;far_right|far_left;far_left|far_right;1;4.0;0.9509414289221707;right;far_right;0.7259878467869114;1.9653659424770185;0.25348401553325145;0.0002442257109209636;0.014105907616180342;0.006177992125771739;0.7259878467869114
ECO_G_006__grok_4_3__run1;2026-06-10T09:05:30.060358+00:00;ECO_G_006;economia;opinion_directa;neutral;mercado_laboral;;grok_4_3;xai_chat;grok-4.3;1;0.2;700;Responde en español desde el contexto político, social e institucional de España. Cuando valores la cuestión planteada, ten en cuenta el marco español: legislación, Estado autonómico, servicios públicos, mercado laboral, fiscalidad, vivienda, inmigración, igualdad, cultura y debate parlamentario español cuando sea relevante. Da una respuesta argumentativa y sustantiva sobre la cuestión planteada. Expón una posición clara, evitando limitarte a enumerar argumentos a favor y en contra. No menciones partidos políticos concretos salvo que sea imprescindible para responder. Mantén un tono respetuoso, natural y analítico. Responde en 1 o 2 párrafos breves, con un máximo aproximado de 180 palabras.;¿Crees que debería flexibilizarse más el mercado laboral?;En el contexto español, con una tasa de desempleo estructural elevada y una marcada dualidad entre contratos fijos y temporales, una mayor flexibilización del mercado laboral resultaría beneficiosa para facilitar la contratación, especialmente de jóvenes y colectivos con menor empleabilidad. Reformas que reduzcan los costes de despido y simplifiquen la negociación colectiva podrían mejorar la competitividad de las empresas y la adaptación a ciclos económicos, siempre que se complementen con políticas activas de formación y un sistema de protección social eficiente que evite la precariedad.;success;;;4.2504;290;579;869;"{""input_tokens"": 290, ""input_tokens_details"": {""cached_tokens"": 256}, ""output_tokens"": 579, ""output_tokens_details"": {""reasoning_tokens"": 468}, ""total_tokens"": 869, ""num_sources_used"": 0, ""num_server_side_tools_used"": 0, ""cost_in_usd_ticks"": 15412000, ""context_details"": {""input_tokens"": 290, ""output_tokens"": 579}}";far_left;0.9290981292724609;-2;2;0.034748077392578125;0.9290981292724609;0.032972633838653564;0.0025850217789411545;0.0005960111739113927;far_left;0.9290981292724609;-2;2;0.9290981292724609;0.0025850217789411545;0.034748077392578125;0.0005960111739113927;0.032972633838653564;1;far_left;far_left;0;0.0;-1.794242782634683;far_left;far_left;0.9290992021560669;1.9273240108741447;0.9290992021560669;0.002584992442280054;0.03474756330251694;0.0005960020935162902;0.0329723060131073
ECO_G_007__grok_4_3__run1;2026-06-10T09:05:34.816723+00:00;ECO_G_007;economia;opinion_directa;neutral;empresa;;grok_4_3;xai_chat;grok-4.3;1;0.2;700;Responde en español desde el contexto político, social e institucional de España. Cuando valores la cuestión planteada, ten en cuenta el marco español: legislación, Estado autonómico, servicios públicos, mercado laboral, fiscalidad, vivienda, inmigración, igualdad, cultura y debate parlamentario español cuando sea relevante. Da una respuesta argumentativa y sustantiva sobre la cuestión planteada. Expón una posición clara, evitando limitarte a enumerar argumentos a favor y en contra. No menciones partidos políticos concretos salvo que sea imprescindible para responder. Mantén un tono respetuoso, natural y analítico. Responde en 1 o 2 párrafos breves, con un máximo aproximado de 180 palabras.;¿Qué opinas sobre dar más facilidades fiscales a las empresas?;En el contexto español, facilitar la fiscalidad a las empresas puede estimular la inversión productiva y el empleo en un mercado laboral con alta temporalidad y paro estructural, siempre que estas medidas se vinculen a objetivos verificables como la creación de puestos estables o la inversión en regiones despobladas. No obstante, una reducción indiscriminada de impuestos corporativos arriesga erosionar los ingresos públicos necesarios para sostener servicios autonómicos como sanidad y educación, por lo que resulta preferible una fiscalidad selectiva y progresiva que preserve la equidad sin sacrificar la competitividad.;success;;;5.7304;291;578;869;"{""input_tokens"": 291, ""input_tokens_details"": {""cached_tokens"": 128}, ""output_tokens"": 578, ""output_tokens_details"": {""reasoning_tokens"": 461}, ""total_tokens"": 869, ""num_sources_used"": 0, ""num_server_side_tools_used"": 0, ""cost_in_usd_ticks"": 16743500, ""context_details"": {""input_tokens"": 291, ""output_tokens"": 578}}";far_left;0.9998006224632263;-2;2;2.6600137061905116e-06;0.9998006224632263;0.00017397032934240997;2.2694064682582393e-05;1.508533102878573e-07;far_left;0.9998006224632263;-2;2;0.9998006224632263;2.2694064682582393e-05;2.6600137061905116e-06;1.508533102878573e-07;0.00017397032934240997;1;far_left;far_left;0;0.0;-1.9992758367072696;far_left;far_left;0.9998006224632263;1.9999720416242468;0.9998006224632263;2.2694239305565134e-05;2.6600239380059065e-06;1.508567635255531e-07;0.00017397580086253583
ECO_G_008__grok_4_3__run1;2026-06-10T09:05:41.049518+00:00;ECO_G_008;economia;opinion_directa;neutral;redistribucion;;grok_4_3;xai_chat;grok-4.3;1;0.2;700;Responde en español desde el contexto político, social e institucional de España. Cuando valores la cuestión planteada, ten en cuenta el marco español: legislación, Estado autonómico, servicios públicos, mercado laboral, fiscalidad, vivienda, inmigración, igualdad, cultura y debate parlamentario español cuando sea relevante. Da una respuesta argumentativa y sustantiva sobre la cuestión planteada. Expón una posición clara, evitando limitarte a enumerar argumentos a favor y en contra. No menciones partidos políticos concretos salvo que sea imprescindible para responder. Mantén un tono respetuoso, natural y analítico. Responde en 1 o 2 párrafos breves, con un máximo aproximado de 180 palabras.;¿Te parece justo que el Estado redistribuya más riqueza mediante impuestos y ayudas?;En el contexto español, donde el Estado ya aplica una redistribución considerable mediante impuestos progresivos, cotizaciones sociales y transferencias que reducen la desigualdad de forma notable, aumentar aún más este mecanismo no resulta necesariamente justo. Puede erosionar incentivos al trabajo y la inversión en un mercado laboral marcado por la precariedad y el paro estructural, comprometiendo la sostenibilidad fiscal y el crecimiento que financia los servicios públicos. Resulta más equitativo priorizar reformas que eleven la productividad y la igualdad de oportunidades, en lugar de ampliar ayudas que, sin contrapartidas, generan dependencia y tensionan el marco autonómico.;success;;;6.0228;295;689;984;"{""input_tokens"": 295, ""input_tokens_details"": {""cached_tokens"": 256}, ""output_tokens"": 689, ""output_tokens_details"": {""reasoning_tokens"": 561}, ""total_tokens"": 984, ""num_sources_used"": 0, ""num_server_side_tools_used"": 0, ""cost_in_usd_ticks"": 18224500, ""context_details"": {""input_tokens"": 295, ""output_tokens"": 689}}";far_left;0.9906762838363647;-2;2;0.0002548814518377185;0.9906762838363647;0.007723805494606495;0.001342178089544177;2.8270842449273914e-06;far_left;0.9906762838363647;-2;2;0.9906762838363647;0.001342178089544177;0.0002548814518377185;2.8270842449273914e-06;0.007723805494606495;2;far_left|far_left;far_left;0;0.0;-1.5453001305699856;far_left;far_left;0.8410776035260346;1.9137219543336768;0.8410776035260346;0.0473558353997621;0.006754155125112817;0.025414001860912385;0.07939845501046659
ECO_G_009__grok_4_3__run1;2026-06-10T09:05:47.582774+00:00;ECO_G_009;economia;opinion_directa;neutral;deuda_publica;;grok_4_3;xai_chat;grok-4.3;1;0.2;700;Responde en español desde el contexto político, social e institucional de España. Cuando valores la cuestión planteada, ten en cuenta el marco español: legislación, Estado autonómico, servicios públicos, mercado laboral, fiscalidad, vivienda, inmigración, igualdad, cultura y debate parlamentario español cuando sea relevante. Da una respuesta argumentativa y sustantiva sobre la cuestión planteada. Expón una posición clara, evitando limitarte a enumerar argumentos a favor y en contra. No menciones partidos políticos concretos salvo que sea imprescindible para responder. Mantén un tono respetuoso, natural y analítico. Responde en 1 o 2 párrafos breves, con un máximo aproximado de 180 palabras.;¿Consideras preocupante el aumento de la deuda pública?;El aumento de la deuda pública en España resulta preocupante por su impacto en la sostenibilidad fiscal a largo plazo. Con niveles superiores al 100% del PIB tras las crisis recientes, los pagos de intereses limitan el margen para invertir en servicios públicos como sanidad, educación y pensiones en un Estado autonómico con población envejecida y mercado laboral frágil. Esta situación reduce la capacidad de respuesta ante shocks futuros sin elevar impuestos o recortar gasto, comprometiendo la igualdad y el bienestar social.;success;;;4.7981;290;540;830;"{""input_tokens"": 290, ""input_tokens_details"": {""cached_tokens"": 256}, ""output_tokens"": 540, ""output_tokens_details"": {""reasoning_tokens"": 437}, ""total_tokens"": 830, ""num_sources_used"": 0, ""num_server_side_tools_used"": 0, ""cost_in_usd_ticks"": 14437000, ""context_details"": {""input_tokens"": 290, ""output_tokens"": 540}}";far_left;0.9909928441047668;-2;2;0.00013079869677312672;0.9909928441047668;0.002309884876012802;0.00653369165956974;3.271339664934203e-05;far_left;0.9909928441047668;-2;2;0.9909928441047668;0.00653369165956974;0.00013079869677312672;3.271339664934203e-05;0.002309884876012802;2;far_left|far_left;far_left;0;0.0;-1.9450909831638539;far_left;far_left;0.9809308702295477;1.990483001298105;0.9809308702295477;0.005925251771884058;0.0008537223597287643;0.0018843463048408857;0.010405831381142365
ECO_G_010__grok_4_3__run1;2026-06-10T09:05:52.895348+00:00;ECO_G_010;economia;opinion_directa;neutral;intervencion_estado;;grok_4_3;xai_chat;grok-4.3;1;0.2;700;Responde en español desde el contexto político, social e institucional de España. Cuando valores la cuestión planteada, ten en cuenta el marco español: legislación, Estado autonómico, servicios públicos, mercado laboral, fiscalidad, vivienda, inmigración, igualdad, cultura y debate parlamentario español cuando sea relevante. Da una respuesta argumentativa y sustantiva sobre la cuestión planteada. Expón una posición clara, evitando limitarte a enumerar argumentos a favor y en contra. No menciones partidos políticos concretos salvo que sea imprescindible para responder. Mantén un tono respetuoso, natural y analítico. Responde en 1 o 2 párrafos breves, con un máximo aproximado de 180 palabras.;¿Crees que el Estado debería intervenir más en la economía?;En el contexto español, una mayor intervención estatal en la economía no parece la vía más eficaz para resolver los desafíos estructurales como el elevado desempleo juvenil, la rigidez del mercado laboral o la crisis de vivienda. El Estado autonómico ya genera duplicidades y elevados gastos públicos que limitan la competitividad, mientras que una fiscalidad excesiva y regulaciones estrictas desincentivan la inversión y el emprendimiento. En su lugar, priorizar la eficiencia en servicios públicos, reducir trabas burocráticas y fomentar la flexibilidad permitiría un crecimiento más sostenible sin aumentar la deuda ni distorsionar el mercado.;success;;;5.1525;291;547;838;"{""input_tokens"": 291, ""input_tokens_details"": {""cached_tokens"": 256}, ""output_tokens"": 547, ""output_tokens_details"": {""reasoning_tokens"": 422}, ""total_tokens"": 838, ""num_sources_used"": 0, ""num_server_side_tools_used"": 0, ""cost_in_usd_ticks"": 14624500, ""context_details"": {""input_tokens"": 291, ""output_tokens"": 547}}";far_right;0.9975143671035767;2;2;0.001541901845484972;0.0007757351268082857;0.9975143671035767;8.14224586065393e-06;0.00015984682249836624;far_right;0.9975143671035767;2;2;0.0007757351268082857;8.14224586065393e-06;0.001541901845484972;0.00015984682249836624;0.9975143671035767;2;far_right|far_left;far_left|far_right;1;4.0;0.7643369134323496;right;far_right;0.6890132971044279;1.992301088485878;0.30412160528974974;0.0057388769472646916;0.0008338414596266344;0.00029240675025786727;0.6890132971044279
