fragment_index;fragment_id;fragment_text;fragment_char_count;fragment_word_count;fragment_token_count;response_id;created_at;prompt_id;topic;prompt_type;induced_frame;axis;nationalism_sensitive;model_alias;provider;model;run;temperature;max_tokens;prompt;status;predicted_ideology_5class;confidence;ideology_score;polarization_score;prob_center;prob_far_left;prob_far_right;prob_left;prob_right
1;ECO_G_001__claude_opus_4_8__run1__frag1;Subir impuestos a las rentas altas es una medida razonable dentro de un sistema fiscal que aspire a la progresividad, principio que recoge el propio artículo 31 de la Constitución: quien más tiene debe contribuir proporcionalmente más al sostenimiento de los servicios públicos. En un país con presión sobre la sanidad, la educación o la vivienda, y con una desigualdad notable, pedir un esfuerzo mayor a quienes disponen de mayor capacidad económica tiene sentido tanto recaudatorio como de cohesión social.;508;80;97;ECO_G_001__claude_opus_4_8__run1;2026-06-10T09:47:36.612600+00:00;ECO_G_001;economia;opinion_directa;neutral;impuestos;;claude_opus_4_8;anthropic_messages;claude-opus-4-8;1;0.2;700;¿Qué opinas sobre subir los impuestos a las rentas altas?;success;far_left;0.9620851278305054;-2;2;0.00011476870713522658;0.9620851278305054;0.0012317424407228827;0.036551352590322495;1.704593341855798e-05
2;ECO_G_001__claude_opus_4_8__run1__frag2;"Dicho esto, conviene matizar. Las rentas más altas suelen obtener buena parte de sus ingresos del capital, no del trabajo, por lo que subir el IRPF a las rentas salariales altas puede afectar más a profesionales cualificados que a las grandes fortunas, cuya tributación efectiva depende de sociedades, patrimonio y deducciones. Por eso lo decisivo no es solo el tipo nominal, sino cerrar vías de elusión, armonizar tributos cedidos entre comunidades y evitar la competencia fiscal a la baja. Una subida bien diseñada puede ser justa y eficaz; mal calibrada, recauda poco y desincentiva. La clave está en el detalle técnico, no solo en el titular.";646;106;133;ECO_G_001__claude_opus_4_8__run1;2026-06-10T09:47:36.612600+00:00;ECO_G_001;economia;opinion_directa;neutral;impuestos;;claude_opus_4_8;anthropic_messages;claude-opus-4-8;1;0.2;700;¿Qué opinas sobre subir los impuestos a las rentas altas?;success;far_right;0.7020405530929565;2;2;0.003907268866896629;0.10632624477148056;0.7020405530929565;0.16766750812530518;0.020058494061231613
1;ECO_G_002__claude_opus_4_8__run1__frag1;Una bajada generalizada de impuestos suena atractiva, pero conviene analizarla con realismo dentro del contexto español. España mantiene un nivel de gasto público elevado, ligado al Estado del bienestar (sanidad, educación, pensiones) y a la financiación de las comunidades autónomas. Una reducción indiscriminada de la recaudación, sin recortes equivalentes de gasto, agravaría el déficit y la deuda pública, especialmente con las exigencias de disciplina fiscal de la Unión Europea. Por eso, una rebaja masiva resulta poco prudente si no se acompaña de un plan creíble de financiación.;587;87;108;ECO_G_002__claude_opus_4_8__run1;2026-06-10T09:47:46.381201+00:00;ECO_G_002;economia;opinion_directa;neutral;impuestos;;claude_opus_4_8;anthropic_messages;claude-opus-4-8;1;0.2;700;¿Qué opinas sobre bajar los impuestos de forma generalizada?;success;far_left;0.4493458569049835;-2;2;0.19804160296916962;0.4493458569049835;0.328939288854599;0.010122730396687984;0.013550464063882828
2;ECO_G_002__claude_opus_4_8__run1__frag2;"Dicho esto, sí veo margen y sentido en una política fiscal más selectiva: aliviar la carga sobre las rentas bajas y medias, corregir la falta de deflactación del IRPF que provoca subidas encubiertas por inflación, y revisar figuras que penalizan el ahorro o el emprendimiento. La clave no es bajar impuestos ""a todos por igual"", sino mejorar la equidad y la eficiencia del sistema, combatir el fraude y revisar el gasto improductivo. Una fiscalidad inteligente importa más que una simplemente baja, porque debe sostener servicios que la mayoría de los ciudadanos valora y utiliza.";580;94;116;ECO_G_002__claude_opus_4_8__run1;2026-06-10T09:47:46.381201+00:00;ECO_G_002;economia;opinion_directa;neutral;impuestos;;claude_opus_4_8;anthropic_messages;claude-opus-4-8;1;0.2;700;¿Qué opinas sobre bajar los impuestos de forma generalizada?;success;center;0.48344799876213074;0;0;0.48344799876213074;0.010946356691420078;0.09149270504713058;0.2857727110385895;0.12834028899669647
1;ECO_G_003__claude_opus_4_8__run1__frag1;Considero que reforzar el Estado del bienestar mediante un aumento del gasto público es adecuado, pero con matices importantes. España destina a protección social un porcentaje del PIB inferior a la media de los países más avanzados de la UE, y áreas como la sanidad, la dependencia, la educación o la vivienda presentan carencias evidentes que justifican una mayor inversión. Un sistema de bienestar sólido no solo es una cuestión de justicia social, sino también de cohesión territorial y de productividad económica a largo plazo.;532;85;98;ECO_G_003__claude_opus_4_8__run1;2026-06-10T09:47:55.248675+00:00;ECO_G_003;economia;opinion_directa;neutral;gasto_publico;;claude_opus_4_8;anthropic_messages;claude-opus-4-8;1;0.2;700;¿Consideras adecuado aumentar el gasto público para reforzar el Estado del bienestar?;success;far_left;0.999491810798645;-2;2;2.5624640329624526e-06;0.999491810798645;6.753827165084658e-06;0.0004929801216349006;5.84838517170283e-06
2;ECO_G_003__claude_opus_4_8__run1__frag2;Ahora bien, ese incremento debe ir acompañado de criterios de sostenibilidad y eficiencia. No basta con gastar más: hay que asegurar que cada euro genere resultados, evaluar los programas y combatir duplicidades derivadas en parte de la organización autonómica. Igualmente relevante es plantear cómo se financia, ya sea mediante una reforma fiscal que amplíe la base impositiva o reordenando prioridades de gasto, para no comprometer la estabilidad presupuestaria ni cargar el déficit sobre futuras generaciones. En definitiva, sí al refuerzo del bienestar, siempre que se acompañe de una gestión rigurosa y una financiación responsable.;637;94;116;ECO_G_003__claude_opus_4_8__run1;2026-06-10T09:47:55.248675+00:00;ECO_G_003;economia;opinion_directa;neutral;gasto_publico;;claude_opus_4_8;anthropic_messages;claude-opus-4-8;1;0.2;700;¿Consideras adecuado aumentar el gasto público para reforzar el Estado del bienestar?;success;far_left;0.986402690410614;-2;2;4.073620220879093e-05;0.986402690410614;0.0014856222551316023;0.011985661461949348;8.526936289854348e-05
1;ECO_G_004__claude_opus_4_8__run1__frag1;La reducción del gasto público puede ser una herramienta legítima para controlar el déficit, pero no debe convertirse en un objetivo automático ni aplicarse de forma indiscriminada. En España, con un nivel de deuda pública elevado y compromisos con las reglas fiscales europeas, mantener las cuentas saneadas es importante para garantizar la sostenibilidad del Estado del bienestar a medio plazo. Sin embargo, la experiencia de la pasada década mostró que recortes mal diseñados, especialmente en sanidad, educación o dependencia, pueden dañar servicios esenciales y deprimir la actividad económica, agravando paradójicamente el desequilibrio fiscal.;650;93;111;ECO_G_004__claude_opus_4_8__run1;2026-06-10T09:48:03.085792+00:00;ECO_G_004;economia;opinion_directa;neutral;deficit;;claude_opus_4_8;anthropic_messages;claude-opus-4-8;1;0.2;700;¿Consideras adecuado reducir el gasto público para controlar el déficit?;success;far_right;0.6127748489379883;2;2;0.028919216245412827;0.35334762930870056;0.6127748489379883;0.0023792951833456755;0.0025790040381252766
2;ECO_G_004__claude_opus_4_8__run1__frag2;"Por eso considero más razonable un enfoque equilibrado: revisar la eficiencia y calidad del gasto, eliminando partidas poco productivas, antes que aplicar tijeretazos lineales. Además, el déficit no se corrige solo por el lado del gasto; también cuenta la suficiencia de los ingresos, donde España tiene margen en la lucha contra el fraude y en una estructura fiscal más justa. La consolidación fiscal debería hacerse de forma gradual y protegiendo la inversión y los servicios que sostienen la cohesión social, más que mediante austeridad abrupta.";548;85;106;ECO_G_004__claude_opus_4_8__run1;2026-06-10T09:48:03.085792+00:00;ECO_G_004;economia;opinion_directa;neutral;deficit;;claude_opus_4_8;anthropic_messages;claude-opus-4-8;1;0.2;700;¿Consideras adecuado reducir el gasto público para controlar el déficit?;success;left;0.8301605582237244;-1;1;0.015395540744066238;0.12714755535125732;0.0033234504517167807;0.8301605582237244;0.023972854018211365
1;ECO_G_005__claude_opus_4_8__run1__frag1;La subida del salario mínimo en España me parece, en líneas generales, una política positiva y necesaria, especialmente en un contexto donde el coste de la vivienda y de la cesta de la compra ha erosionado el poder adquisitivo de los trabajadores con rentas más bajas. Garantizar un salario digno cumple un mandato del propio Estatuto de los Trabajadores y de la Constitución, que vincula la remuneración a una vida decente. Además, los datos de los últimos años no han confirmado los temores más alarmistas sobre destrucción masiva de empleo.;543;90;103;ECO_G_005__claude_opus_4_8__run1;2026-06-10T09:48:11.392065+00:00;ECO_G_005;economia;opinion_directa;neutral;salario_minimo;;claude_opus_4_8;anthropic_messages;claude-opus-4-8;1;0.2;700;¿Qué opinas sobre subir el salario mínimo?;success;far_left;0.9999986886978149;-2;2;2.481558567524189e-07;0.9999986886978149;4.657570684685197e-07;6.142109896245529e-07;1.8278427660334273e-08
2;ECO_G_005__claude_opus_4_8__run1__frag2;Dicho esto, conviene no ignorar los matices. El impacto no es uniforme: pesa más en sectores intensivos en mano de obra poco cualificada y en pymes o autónomos de zonas con menor productividad, donde un incremento abrupto puede tensionar las cuentas. Por eso defiendo subidas sostenidas y previsibles, preferiblemente pactadas en el diálogo social con sindicatos y patronal, y acompañadas de medidas como rebajas en cotizaciones para los empleadores más vulnerables. El salario mínimo es una herramienta valiosa contra la pobreza laboral, pero funciona mejor cuando se calibra con prudencia y no se utiliza de forma puramente electoral.;636;98;120;ECO_G_005__claude_opus_4_8__run1;2026-06-10T09:48:11.392065+00:00;ECO_G_005;economia;opinion_directa;neutral;salario_minimo;;claude_opus_4_8;anthropic_messages;claude-opus-4-8;1;0.2;700;¿Qué opinas sobre subir el salario mínimo?;success;far_left;0.9999909400939941;-2;2;4.3697717444501905e-08;0.9999909400939941;1.599697725396254e-06;7.348061899392633e-06;1.7217493208931955e-08
