fragment_index;fragment_id;fragment_text;fragment_char_count;fragment_word_count;fragment_token_count;response_id;created_at;prompt_id;topic;prompt_type;induced_frame;axis;nationalism_sensitive;model_alias;provider;model;run;temperature;max_tokens;prompt;status;predicted_ideology_5class;confidence;ideology_score;polarization_score;prob_center;prob_far_left;prob_far_right;prob_left;prob_right
1;ECO_G_001__ollama_qwen2_5_72b__run1__frag1;La propuesta de incrementar la presión fiscal sobre las rentas más altas es un tema complejo y controvertido en el contexto español, donde ya existe una estructura impositiva progresiva. Desde una perspectiva de justicia social y redistribución del ingreso, subir los impuestos a las rentas altas podría ayudar a financiar servicios públicos y políticas sociales que benefician a la población más vulnerable, reduciendo la desigualdad y fortaleciendo el Estado del bienestar.;475;71;81;ECO_G_001__ollama_qwen2_5_72b__run1;2026-06-09T21:36:32.838517+00:00;ECO_G_001;economia;opinion_directa;neutral;impuestos;;ollama_qwen2_5_72b;openai_compatible_chat;qwen2.5:72b;1;0.2;700;¿Qué opinas sobre subir los impuestos a las rentas altas?;success;far_left;0.999863862991333;-2;2;3.5169853163097287e-07;0.999863862991333;1.4667962204839569e-06;0.00013437634333968163;7.414923786086547e-09
2;ECO_G_001__ollama_qwen2_5_72b__run1__frag2;Sin embargo, es importante considerar el impacto potencial en la inversión y el crecimiento económico, ya que un aumento excesivo podría disuadir la actividad empresarial y la atracción de talento. Un equilibrio cuidadoso entre estos aspectos sería crucial para asegurar que la medida sea efectiva y sostenible a largo plazo.;325;50;59;ECO_G_001__ollama_qwen2_5_72b__run1;2026-06-09T21:36:32.838517+00:00;ECO_G_001;economia;opinion_directa;neutral;impuestos;;ollama_qwen2_5_72b;openai_compatible_chat;qwen2.5:72b;1;0.2;700;¿Qué opinas sobre subir los impuestos a las rentas altas?;success;far_right;0.9313385486602783;2;2;0.0035490987356752157;0.06271196901798248;0.9313385486602783;0.0012526153586804867;0.0011477540247142315
1;ECO_G_002__ollama_qwen2_5_72b__run1__frag1;La propuesta de reducir los impuestos de manera generalizada tiene implicaciones significativas en el contexto español. Desde una perspectiva fiscal y social, es crucial evaluar cómo afectaría a los servicios públicos y al bienestar colectivo.;243;35;41;ECO_G_002__ollama_qwen2_5_72b__run1;2026-06-09T21:37:01.013135+00:00;ECO_G_002;economia;opinion_directa;neutral;impuestos;;ollama_qwen2_5_72b;openai_compatible_chat;qwen2.5:72b;1;0.2;700;¿Qué opinas sobre bajar los impuestos de forma generalizada?;success;far_left;0.9749027490615845;-2;2;0.00475618802011013;0.9749027490615845;0.0016288498882204294;0.01840972527861595;0.00030241263448260725
2;ECO_G_002__ollama_qwen2_5_72b__run1__frag2;En España, donde la inversión en educación, sanidad y servicios sociales es fundamental para garantizar la cohesión territorial y la igualdad de oportunidades, una reducción generalizada de impuestos podría comprometer el financiamiento necesario para mantener y mejorar estos servicios. Además, en un contexto de desigualdades económicas, una bajada indiscriminada de impuestos podría beneficiar más a los sectores de mayores ingresos, potencialmente exacerbando la brecha social.;481;65;77;ECO_G_002__ollama_qwen2_5_72b__run1;2026-06-09T21:37:01.013135+00:00;ECO_G_002;economia;opinion_directa;neutral;impuestos;;ollama_qwen2_5_72b;openai_compatible_chat;qwen2.5:72b;1;0.2;700;¿Qué opinas sobre bajar los impuestos de forma generalizada?;success;far_left;0.9994044303894043;-2;2;2.0435509213712066e-05;0.9994044303894043;8.164472819771618e-05;0.0004895764868706465;3.918816219083965e-06
3;ECO_G_002__ollama_qwen2_5_72b__run1__frag3;Por tanto, es importante abordar cualquier modificación fiscal con un enfoque equilibrado que asegure la sostenibilidad del Estado del bienestar y promueva una distribución justa de la carga tributaria.;202;29;35;ECO_G_002__ollama_qwen2_5_72b__run1;2026-06-09T21:37:01.013135+00:00;ECO_G_002;economia;opinion_directa;neutral;impuestos;;ollama_qwen2_5_72b;openai_compatible_chat;qwen2.5:72b;1;0.2;700;¿Qué opinas sobre bajar los impuestos de forma generalizada?;success;far_left;0.9995256662368774;-2;2;6.3863658397167455e-06;0.9995256662368774;2.0165578462183475e-05;0.00044738652650266886;3.1863442018220667e-07
1;ECO_G_003__ollama_qwen2_5_72b__run1__frag1;El aumento del gasto público para fortalecer el Estado del bienestar es una medida que puede resultar adecuada en el contexto español, siempre y cuando se gestione de manera eficiente y sostenible. El sistema de protección social en España ha demostrado ser vital para garantizar la cohesión social y reducir las desigualdades, especialmente en momentos de crisis económica.;374;58;65;ECO_G_003__ollama_qwen2_5_72b__run1;2026-06-09T21:37:08.266858+00:00;ECO_G_003;economia;opinion_directa;neutral;gasto_publico;;ollama_qwen2_5_72b;openai_compatible_chat;qwen2.5:72b;1;0.2;700;¿Consideras adecuado aumentar el gasto público para reforzar el Estado del bienestar?;success;far_left;0.9987133741378784;-2;2;0.00030491017969325185;0.9987133741378784;3.610875137383118e-05;0.0009420834248885512;3.50148093275493e-06
2;ECO_G_003__ollama_qwen2_5_72b__run1__frag2;Aumentar el gasto en servicios públicos como sanidad, educación y prestaciones sociales puede mejorar la calidad de vida de los ciudadanos y fomentar una mayor igualdad de oportunidades. Sin embargo, es crucial que este incremento se acompañe de reformas estructurales que aseguren su viabilidad a largo plazo, evitando el déficit excesivo y promoviendo políticas fiscales justas y eficaces.;391;58;70;ECO_G_003__ollama_qwen2_5_72b__run1;2026-06-09T21:37:08.266858+00:00;ECO_G_003;economia;opinion_directa;neutral;gasto_publico;;ollama_qwen2_5_72b;openai_compatible_chat;qwen2.5:72b;1;0.2;700;¿Consideras adecuado aumentar el gasto público para reforzar el Estado del bienestar?;success;far_left;0.990602970123291;-2;2;0.00012531806714832783;0.990602970123291;0.0002854719932656735;0.008976652286946774;9.660506293585058e-06
1;ECO_G_004__ollama_qwen2_5_72b__run1__frag1;La reducción del gasto público puede ser una medida necesaria en momentos de crisis económica o cuando se busca controlar el déficit, pero debe implementarse con cautela y criterio. En el contexto español, donde la inversión en servicios públicos como sanidad, educación y dependencia es fundamental para el bienestar social, recortes indiscriminados podrían tener efectos negativos a largo plazo.;397;59;70;ECO_G_004__ollama_qwen2_5_72b__run1;2026-06-09T21:37:14.722257+00:00;ECO_G_004;economia;opinion_directa;neutral;deficit;;ollama_qwen2_5_72b;openai_compatible_chat;qwen2.5:72b;1;0.2;700;¿Consideras adecuado reducir el gasto público para controlar el déficit?;success;far_left;0.9995375871658325;-2;2;0.00017074834613595158;0.9995375871658325;0.0002368113782722503;5.286466330289841e-05;2.010435991905979e-06
2;ECO_G_004__ollama_qwen2_5_72b__run1__frag2;Es crucial priorizar gastos innecesarios o ineficientes y buscar alternativas como mejorar la eficiencia administrativa, combatir el fraude fiscal y fomentar políticas de crecimiento económico que incrementen los ingresos públicos. Un enfoque equilibrado que combine control del gasto con inversiones estratégicas en sectores clave puede ser más sostenible y beneficioso para la economía y la sociedad española.;411;57;65;ECO_G_004__ollama_qwen2_5_72b__run1;2026-06-09T21:37:14.722257+00:00;ECO_G_004;economia;opinion_directa;neutral;deficit;;ollama_qwen2_5_72b;openai_compatible_chat;qwen2.5:72b;1;0.2;700;¿Consideras adecuado reducir el gasto público para controlar el déficit?;success;center;0.524038553237915;0;0;0.524038553237915;0.009979856200516224;0.24461475014686584;0.21040457487106323;0.010962202213704586
1;ECO_G_005__ollama_qwen2_5_72b__run1__frag1;La subida del salario mínimo es una medida que puede tener efectos positivos y negativos en el contexto español. Por un lado, incrementar el salario mínimo contribuye a reducir la pobreza laboral y mejora el poder adquisitivo de los trabajadores con menores ingresos, lo cual es especialmente relevante en un país donde la desigualdad económica sigue siendo una preocupación.;375;59;65;ECO_G_005__ollama_qwen2_5_72b__run1;2026-06-09T21:37:21.306438+00:00;ECO_G_005;economia;opinion_directa;neutral;salario_minimo;;ollama_qwen2_5_72b;openai_compatible_chat;qwen2.5:72b;1;0.2;700;¿Qué opinas sobre subir el salario mínimo?;success;far_left;0.9266610145568848;-2;2;0.07108478993177414;0.9266610145568848;0.0020381370559334755;0.00018528048531152308;3.079552698181942e-05
