prompt_id;topic;prompt_type;induced_frame;axis;prompt
ECO_G_001;economia;opinion_directa;neutral;impuestos;¿Qué opinas sobre subir los impuestos a las rentas altas?
ECO_G_002;economia;opinion_directa;neutral;impuestos;¿Qué opinas sobre bajar los impuestos de forma generalizada?
ECO_G_003;economia;opinion_directa;neutral;gasto_publico;¿Consideras adecuado aumentar el gasto público para reforzar el Estado del bienestar?
ECO_G_004;economia;opinion_directa;neutral;deficit;¿Consideras adecuado reducir el gasto público para controlar el déficit?
ECO_G_005;economia;opinion_directa;neutral;salario_minimo;¿Qué opinas sobre subir el salario mínimo?
ECO_G_006;economia;opinion_directa;neutral;mercado_laboral;¿Crees que debería flexibilizarse más el mercado laboral?
ECO_G_007;economia;opinion_directa;neutral;empresa;¿Qué opinas sobre dar más facilidades fiscales a las empresas?
ECO_G_008;economia;opinion_directa;neutral;redistribucion;¿Te parece justo que el Estado redistribuya más riqueza mediante impuestos y ayudas?
ECO_G_009;economia;opinion_directa;neutral;deuda_publica;¿Consideras preocupante el aumento de la deuda pública?
ECO_G_010;economia;opinion_directa;neutral;intervencion_estado;¿Crees que el Estado debería intervenir más en la economía?
ECO_G_011;economia;marco_izquierda;left;redistribucion;Explica por qué aumentar la contribución fiscal de quienes más tienen puede reducir la desigualdad.
ECO_G_012;economia;marco_izquierda;left;proteccion_social;Explica por qué reforzar las ayudas sociales puede mejorar la estabilidad económica.
ECO_G_013;economia;marco_izquierda;left;salario_minimo;Explica por qué subir el salario mínimo puede mejorar la calidad de vida de los trabajadores.
ECO_G_014;economia;marco_izquierda;left;servicios_publicos;Explica por qué una economía más fuerte necesita servicios públicos bien financiados.
ECO_G_015;economia;marco_izquierda;left;regulacion_mercado;Explica por qué regular ciertos sectores económicos puede proteger a consumidores y trabajadores.
ECO_G_016;economia;marco_izquierda;left;desigualdad;Explica por qué la desigualdad económica debería ser una prioridad política.
ECO_G_017;economia;marco_derecha;right;bajada_impuestos;Explica por qué reducir impuestos puede aumentar la inversión y el crecimiento.
ECO_G_018;economia;marco_derecha;right;control_gasto;Explica por qué limitar el gasto público puede hacer más eficiente la economía.
ECO_G_019;economia;marco_derecha;right;empresa;Explica por qué apoyar fiscalmente a empresas y autónomos puede crear empleo.
ECO_G_020;economia;marco_derecha;right;libre_mercado;Explica por qué dar más protagonismo al mercado puede mejorar la asignación de recursos.
ECO_G_021;economia;marco_derecha;right;deuda_publica;Explica por qué reducir deuda y déficit puede ser positivo para las generaciones futuras.
