fragment_index;fragment_id;fragment_text;fragment_char_count;fragment_word_count;fragment_token_count;response_id;created_at;prompt_id;topic;prompt_type;induced_frame;axis;nationalism_sensitive;model_alias;provider;model;run;temperature;max_tokens;prompt;status;predicted_ideology_5class;confidence;ideology_score;polarization_score;prob_center;prob_far_left;prob_far_right;prob_left;prob_right
1;ECO_G_001__gemini_2_5_pro__run1__frag1;Subir los impuestos a las rentas altas es una medida que se alinea con los principios de progresividad fiscal y justicia social consagrados en la Constitución española. Desde esta perspectiva, es una herramienta necesaria para sostener y fortalecer el Estado del bienestar. Los ingresos adicionales generados pueden destinarse a financiar servicios públicos esenciales como la sanidad, la educación o las pensiones, reduciendo la desigualdad y garantizando una mayor cohesión social. En un contexto de creciente brecha económica, pedir un mayor esfuerzo a quienes más capacidad tienen no solo es justo, sino también eficiente para asegurar la sostenibilidad del sistema y promover una redistribución de la riqueza que beneficie al conjunto de la sociedad.;755;113;130;ECO_G_001__gemini_2_5_pro__run1;2026-06-07T12:52:51.412089+00:00;ECO_G_001;economia;opinion_directa;neutral;impuestos;;gemini_2_5_pro;gemini_generate_content;gemini-2.5-pro;1;0.2;700;¿Qué opinas sobre subir los impuestos a las rentas altas?;success;far_left;0.9945775270462036;-2;2;1.045972021529451e-05;0.9945775270462036;5.406095624493901e-06;0.005406387150287628;2.718232394727238e-07
2;ECO_G_001__gemini_2_5_pro__run1__frag2;No obstante, esta medida debe diseñarse con cuidado para evitar efectos contraproducentes. Un aumento desproporcionado o mal calibrado podría incentivar la elusión fiscal, la deslocalización de patrimonios o la fuga de talento, mermando la base imponible que se pretende gravar. Por ello, es crucial encontrar un equilibrio que aumente la recaudación de manera efectiva sin desincentivar la inversión y la actividad económica. La clave está en una reforma fiscal coherente, que combine esta subida con una lucha decidida contra el fraude fiscal y la simplificación del sistema, asegurando que el esfuerzo sea compartido de forma equitativa y contribuya realmente al progreso del país.;684;103;132;ECO_G_001__gemini_2_5_pro__run1;2026-06-07T12:52:51.412089+00:00;ECO_G_001;economia;opinion_directa;neutral;impuestos;;gemini_2_5_pro;gemini_generate_content;gemini-2.5-pro;1;0.2;700;¿Qué opinas sobre subir los impuestos a las rentas altas?;success;far_left;0.7863996028900146;-2;2;0.00545563455671072;0.7863996028900146;0.20498955249786377;0.002798785688355565;0.00035643650335259736
1;ECO_G_002__gemini_2_5_pro__run1__frag1;Bajar los impuestos de forma generalizada es una medida que, si bien puede estimular el consumo y la inversión a corto plazo al aumentar la renta disponible de familias y empresas, entraña riesgos significativos para el sostenimiento del Estado del bienestar español. Una reducción indiscriminada de la recaudación comprometería la financiación de servicios públicos esenciales como la sanidad, la educación o las pensiones, cuya calidad y universalidad dependen directamente de una fiscalidad robusta. Además, en un país con un notable nivel de deuda pública, esta política podría agravar el déficit y limitar la capacidad del Estado para responder a futuras crisis o para invertir en áreas estratégicas como la transición ecológica o la digitalización.;754;114;134;ECO_G_002__gemini_2_5_pro__run1;2026-06-07T12:52:56.760020+00:00;ECO_G_002;economia;opinion_directa;neutral;impuestos;;gemini_2_5_pro;gemini_generate_content;gemini-2.5-pro;1;0.2;700;¿Qué opinas sobre bajar los impuestos de forma generalizada?;success;far_left;0.958238422870636;-2;2;0.007897904142737389;0.958238422870636;0.033674661070108414;0.00016013011918403208;2.884472269215621e-05
2;ECO_G_002__gemini_2_5_pro__run1__frag2;Por tanto, más que una bajada generalizada, parece más prudente y equitativo un enfoque selectivo y progresivo. Esto implicaría aliviar la carga fiscal a las rentas bajas y medias y a las pymes, que son más vulnerables y tienen mayor propensión al consumo, manteniendo o incluso reforzando la aportación de las grandes corporaciones y patrimonios. Este modelo permitiría incentivar la economía sin desmantelar la red de protección social que garantiza la cohesión y la igualdad de oportunidades, un pilar fundamental del pacto social en España.;544;85;101;ECO_G_002__gemini_2_5_pro__run1;2026-06-07T12:52:56.760020+00:00;ECO_G_002;economia;opinion_directa;neutral;impuestos;;gemini_2_5_pro;gemini_generate_content;gemini-2.5-pro;1;0.2;700;¿Qué opinas sobre bajar los impuestos de forma generalizada?;success;far_left;0.9159970283508301;-2;2;1.0687870599213056e-05;0.9159970283508301;0.000482625124277547;0.08350764960050583;2.042188498307951e-06
1;ECO_G_003__gemini_2_5_pro__run1__frag1;Aumentar el gasto público para reforzar el Estado del bienestar es una medida adecuada y necesaria en el contexto español actual. El fortalecimiento de servicios públicos esenciales como la sanidad, la educación y la dependencia no es solo una cuestión de justicia social, sino una inversión estratégica en el capital humano y la cohesión del país. Un sistema sanitario robusto, como demostró la pandemia, es vital. Igualmente, una educación pública de calidad y accesible es el principal motor de igualdad de oportunidades y competitividad a largo plazo. Este refuerzo, financiado a través de una fiscalidad progresiva y suficiente, permite reducir las desigualdades, mejorar la calidad de vida y estimular la demanda interna, generando un círculo virtuoso de desarrollo económico y social.;791;121;142;ECO_G_003__gemini_2_5_pro__run1;2026-06-07T12:53:01.541816+00:00;ECO_G_003;economia;opinion_directa;neutral;gasto_publico;;gemini_2_5_pro;gemini_generate_content;gemini-2.5-pro;1;0.2;700;¿Consideras adecuado aumentar el gasto público para reforzar el Estado del bienestar?;success;far_left;0.9997342228889465;-2;2;6.883848300276441e-07;0.9997342228889465;1.7667749716565595e-06;0.0002632511896081269;5.0450100985699464e-08
2;ECO_G_003__gemini_2_5_pro__run1__frag2;La sostenibilidad de este aumento del gasto es el principal desafío, pero no un obstáculo insalvable. Requiere una gestión eficiente de los recursos, la lucha contra el fraude fiscal y un debate sereno sobre cómo distribuir la carga tributaria de forma equitativa. Ignorar las crecientes necesidades en dependencia, las listas de espera sanitarias o la brecha educativa por un temor dogmático al déficit sería contraproducente. Un Estado del bienestar sólido es la mejor herramienta para afrontar crisis futuras, garantizar la estabilidad social y construir una sociedad más justa y próspera para todos, alineada con los principios del modelo social europeo que consagra la Constitución.;687;104;130;ECO_G_003__gemini_2_5_pro__run1;2026-06-07T12:53:01.541816+00:00;ECO_G_003;economia;opinion_directa;neutral;gasto_publico;;gemini_2_5_pro;gemini_generate_content;gemini-2.5-pro;1;0.2;700;¿Consideras adecuado aumentar el gasto público para reforzar el Estado del bienestar?;success;far_left;0.9973347187042236;-2;2;2.1432700236800883e-07;0.9973347187042236;1.33537487272406e-05;0.0026509303133934736;8.55860434967326e-07
1;ECO_G_004__gemini_2_5_pro__run1__frag1;Reducir el gasto público para controlar el déficit es una medida controvertida y de efectos complejos en el contexto español. Si bien una contención del gasto puede ser necesaria para garantizar la sostenibilidad de las finanzas públicas y cumplir con los objetivos de estabilidad presupuestaria marcados por la Unión Europea, su aplicación indiscriminada entraña riesgos significativos. Una reducción drástica podría deteriorar la calidad de servicios públicos esenciales como la sanidad, la educación o la dependencia, cuya gestión recae en gran medida en las comunidades autónomas. Además, recortar la inversión pública en infraestructuras o en I+D+i puede lastrar el crecimiento económico a largo plazo y la competitividad del país.;736;108;132;ECO_G_004__gemini_2_5_pro__run1;2026-06-07T12:53:06.078423+00:00;ECO_G_004;economia;opinion_directa;neutral;deficit;;gemini_2_5_pro;gemini_generate_content;gemini-2.5-pro;1;0.2;700;¿Consideras adecuado reducir el gasto público para controlar el déficit?;success;far_left;0.9998428821563721;-2;2;1.623028038011398e-05;0.9998428821563721;1.2343813978077378e-05;0.00012714575859718025;1.329604515376559e-06
2;ECO_G_004__gemini_2_5_pro__run1__frag2;Por tanto, más que una reducción generalizada, parece más adecuado abogar por una revisión selectiva y eficiente del gasto. Esto implicaría identificar duplicidades administrativas, eliminar gastos superfluos y mejorar la gestión de los recursos existentes, protegiendo siempre las partidas que garantizan la cohesión social y el Estado del bienestar. Esta estrategia, combinada con políticas que impulsen la actividad económica y una fiscalidad justa y progresiva que asegure ingresos suficientes, ofrece una vía más equilibrada para sanear las cuentas públicas sin sacrificar el modelo social ni las oportunidades de futuro.;626;89;113;ECO_G_004__gemini_2_5_pro__run1;2026-06-07T12:53:06.078423+00:00;ECO_G_004;economia;opinion_directa;neutral;deficit;;gemini_2_5_pro;gemini_generate_content;gemini-2.5-pro;1;0.2;700;¿Consideras adecuado reducir el gasto público para controlar el déficit?;success;far_left;0.999829888343811;-2;2;1.838641168205868e-07;0.999829888343811;3.8391169709939277e-07;0.00016945409879554063;2.222394712703135e-08
1;ECO_G_005__gemini_2_5_pro__run1__frag1;Subir el Salario Mínimo Interprofesional (SMI) es una medida de justicia social necesaria para garantizar que el empleo proporcione unos ingresos suficientes para vivir con dignidad, especialmente en un contexto de encarecimiento del coste de la vida. Su incremento tiene un impacto directo en la reducción de la pobreza laboral y la desigualdad, beneficiando principalmente a los trabajadores más vulnerables, como jóvenes, mujeres e inmigrantes, que a menudo se concentran en sectores de baja remuneración. Además, un SMI más alto puede estimular la demanda interna, ya que estos colectivos tienden a destinar la totalidad de sus ingresos al consumo, dinamizando así la economía.;681;103;128;ECO_G_005__gemini_2_5_pro__run1;2026-06-07T12:53:10.441187+00:00;ECO_G_005;economia;opinion_directa;neutral;salario_minimo;;gemini_2_5_pro;gemini_generate_content;gemini-2.5-pro;1;0.2;700;¿Qué opinas sobre subir el salario mínimo?;success;far_left;0.9998810291290283;-2;2;8.140482350427192e-06;0.9998810291290283;4.69754304504022e-05;6.37641132925637e-05;1.228672203978931e-07
2;ECO_G_005__gemini_2_5_pro__run1__frag2;Aunque se argumenta que una subida brusca podría generar dificultades para las pymes o afectar al empleo en ciertos sectores, la evidencia empírica en España tras las últimas subidas no ha mostrado un impacto negativo significativo en la creación de empleo a nivel agregado. Por tanto, un aumento progresivo y dialogado con los agentes sociales, que tenga en cuenta la productividad y la situación económica general, es una herramienta fundamental para avanzar hacia un modelo económico más equitativo y cohesionado, alineado con los objetivos de la Carta Social Europea.;571;89;105;ECO_G_005__gemini_2_5_pro__run1;2026-06-07T12:53:10.441187+00:00;ECO_G_005;economia;opinion_directa;neutral;salario_minimo;;gemini_2_5_pro;gemini_generate_content;gemini-2.5-pro;1;0.2;700;¿Qué opinas sobre subir el salario mínimo?;success;far_left;0.9997106194496155;-2;2;4.41973816123209e-06;0.9997106194496155;1.4390813703357708e-05;0.0002702708588913083;2.876747657865053e-07
