fragment_index;fragment_id;fragment_text;fragment_char_count;fragment_word_count;fragment_token_count;response_id;created_at;prompt_id;topic;prompt_type;induced_frame;axis;nationalism_sensitive;model_alias;provider;model;run;temperature;max_tokens;prompt;status;predicted_ideology_5class;confidence;ideology_score;polarization_score;prob_center;prob_far_left;prob_far_right;prob_left;prob_right
1;ECO_G_001__openai_gpt_5_5__run1__frag1;Subir los impuestos a las rentas altas me parece razonable en España si se hace con rigor técnico, coordinación territorial y un objetivo claro: reforzar servicios públicos y reducir desigualdades sin desincentivar de forma significativa la inversión o el trabajo cualificado. España tiene necesidades importantes en sanidad, dependencia, vivienda, educación y transición demográfica, y una parte de la carga fiscal recae de forma intensa sobre salarios medios y consumo. Pedir un esfuerzo adicional a quienes tienen mayor capacidad económica encaja con el principio constitucional de progresividad fiscal.;606;87;106;ECO_G_001__openai_gpt_5_5__run1;2026-06-07T10:15:05.188544+00:00;ECO_G_001;economia;opinion_directa;neutral;impuestos;;openai_gpt_5_5;openai_responses;gpt-5.5;1;0.2;700;¿Qué opinas sobre subir los impuestos a las rentas altas?;success;far_left;0.9418579339981079;-2;2;7.11540415068157e-05;0.9418579339981079;0.0008574482635594904;0.057198405265808105;1.4993519471317995e-05
2;ECO_G_001__openai_gpt_5_5__run1__frag2;"Ahora bien, no basta con “subir impuestos” de manera simbólica. Habría que cerrar vías de elusión, armonizar mejor ciertos tributos entre comunidades autónomas para evitar competencia fiscal a la baja, revisar beneficios fiscales regresivos y reforzar la Agencia Tributaria. También conviene distinguir entre rentas del trabajo, capital, patrimonio improductivo y grandes herencias. La clave es que la recaudación adicional sea estable, justa y visible en mejores servicios públicos; si no, la medida pierde legitimidad social.";527;75;99;ECO_G_001__openai_gpt_5_5__run1;2026-06-07T10:15:05.188544+00:00;ECO_G_001;economia;opinion_directa;neutral;impuestos;;openai_gpt_5_5;openai_responses;gpt-5.5;1;0.2;700;¿Qué opinas sobre subir los impuestos a las rentas altas?;success;far_left;0.9999582767486572;-2;2;2.1838216568426105e-08;0.9999582767486572;1.4684854932056624e-06;4.019703919766471e-05;8.305928389518158e-09
1;ECO_G_002__openai_gpt_5_5__run1__frag1;Bajar los impuestos de forma generalizada me parece una mala idea en el contexto español actual. España sostiene con ingresos públicos servicios esenciales —sanidad, educación, dependencia, pensiones, transporte, justicia— que ya presentan tensiones importantes, además de un Estado autonómico que necesita financiación suficiente y estable. Una rebaja indiscriminada suele beneficiar más a quienes más renta o patrimonio tienen y, si no va acompañada de recortes explícitos, acaba generando déficit o deterioro de servicios públicos. En un país con problemas de vivienda, envejecimiento, precariedad laboral y desigualdad territorial, reducir ingresos sin priorizar puede ser más irresponsable que liberador.;709;97;122;ECO_G_002__openai_gpt_5_5__run1;2026-06-07T10:15:16.299570+00:00;ECO_G_002;economia;opinion_directa;neutral;impuestos;;openai_gpt_5_5;openai_responses;gpt-5.5;1;0.2;700;¿Qué opinas sobre bajar los impuestos de forma generalizada?;success;far_left;0.9967876672744751;-2;2;0.0030087551567703485;0.9967876672744751;2.1661817299900576e-05;0.00018159854516852647;4.0950504853753955e-07
2;ECO_G_002__openai_gpt_5_5__run1__frag2;Eso no significa que todos los impuestos estén bien diseñados. Sí tiene sentido revisar figuras ineficientes, aliviar a rentas bajas y medias, autónomos o familias en situaciones vulnerables, y combatir mejor el fraude fiscal. También conviene simplificar trámites y mejorar la calidad del gasto público. Pero la clave no debería ser “bajar impuestos” como consigna general, sino construir una fiscalidad suficiente, progresiva y eficaz, capaz de financiar buenos servicios y apoyar la actividad económica sin cargar injustamente sobre quienes menos tienen.;557;81;99;ECO_G_002__openai_gpt_5_5__run1;2026-06-07T10:15:16.299570+00:00;ECO_G_002;economia;opinion_directa;neutral;impuestos;;openai_gpt_5_5;openai_responses;gpt-5.5;1;0.2;700;¿Qué opinas sobre bajar los impuestos de forma generalizada?;success;far_left;0.9883096218109131;-2;2;0.0028686965815722942;0.9883096218109131;0.006556774489581585;0.0021292262244969606;0.00013559055514633656
1;ECO_G_003__openai_gpt_5_5__run1__frag1;"Sí, considero adecuado aumentar el gasto público para reforzar el Estado del bienestar, siempre que se haga con prioridades claras, evaluación rigurosa y una financiación sostenible. En España hay déficits estructurales evidentes: listas de espera sanitarias, envejecimiento de la población, falta de plazas en dependencia, presión sobre la educación pública, vivienda inaccesible para jóvenes y familias, y una red de cuidados todavía insuficiente. Reforzar estos ámbitos no es solo una cuestión de justicia social; también mejora la productividad, la cohesión territorial y la igualdad de oportunidades.";605;86;109;ECO_G_003__openai_gpt_5_5__run1;2026-06-07T10:15:27.904917+00:00;ECO_G_003;economia;opinion_directa;neutral;gasto_publico;;openai_gpt_5_5;openai_responses;gpt-5.5;1;0.2;700;¿Consideras adecuado aumentar el gasto público para reforzar el Estado del bienestar?;success;far_left;0.9999700784683228;-2;2;2.2792180232045212e-07;0.9999700784683228;1.9600149698817404e-06;2.6141959097003564e-05;1.5836366173971328e-06
2;ECO_G_003__openai_gpt_5_5__run1__frag2;Ahora bien, gastar más no debe equivaler a gastar sin control. El aumento debería ir acompañado de una reforma fiscal más eficaz y progresiva, lucha real contra el fraude, revisión de beneficios fiscales poco justificados y coordinación entre Estado y comunidades autónomas, que gestionan buena parte de los servicios esenciales. En un país con desigualdades territoriales y sociales persistentes, un Estado del bienestar fuerte no es un lujo: es una condición para una democracia más estable y una economía más inclusiva.;522;81;96;ECO_G_003__openai_gpt_5_5__run1;2026-06-07T10:15:27.904917+00:00;ECO_G_003;economia;opinion_directa;neutral;gasto_publico;;openai_gpt_5_5;openai_responses;gpt-5.5;1;0.2;700;¿Consideras adecuado aumentar el gasto público para reforzar el Estado del bienestar?;success;far_left;0.9999628067016602;-2;2;2.4210047300243787e-08;0.9999628067016602;4.626188498946249e-08;3.7051904655527323e-05;8.062742473669005e-09
1;ECO_G_004__openai_gpt_5_5__run1__frag1;Sí, pero no como receta general ni mediante recortes lineales. En España el déficit debe controlarse porque una deuda elevada reduce margen ante crisis, encarece la financiación y condiciona políticas futuras. Ahora bien, reducir gasto público sin distinguir puede deteriorar servicios esenciales —sanidad, educación, dependencia, vivienda o políticas activas de empleo— que ya soportan tensiones por envejecimiento, desigualdad territorial y precariedad laboral.;463;62;83;ECO_G_004__openai_gpt_5_5__run1;2026-06-07T10:15:36.444910+00:00;ECO_G_004;economia;opinion_directa;neutral;deficit;;openai_gpt_5_5;openai_responses;gpt-5.5;1;0.2;700;¿Consideras adecuado reducir el gasto público para controlar el déficit?;success;far_left;0.9986976385116577;-2;2;0.0005995837855152786;0.9986976385116577;4.782366886502132e-05;0.0006516864523291588;3.2238133371720323e-06
2;ECO_G_004__openai_gpt_5_5__run1__frag2;La vía adecuada sería una consolidación selectiva y gradual: evaluar programas, eliminar duplicidades administrativas entre niveles de gobierno, revisar subvenciones ineficaces, mejorar la contratación pública y reforzar la lucha contra el fraude. Pero también hay que mirar los ingresos: España mantiene brechas recaudatorias respecto a países europeos comparables, especialmente en fiscalidad medioambiental, fraude y ciertos beneficios fiscales. Controlar el déficit no debería significar adelgazar el Estado social, sino hacerlo más eficiente y sostenible, protegiendo inversión productiva y servicios públicos básicos.;623;80;105;ECO_G_004__openai_gpt_5_5__run1;2026-06-07T10:15:36.444910+00:00;ECO_G_004;economia;opinion_directa;neutral;deficit;;openai_gpt_5_5;openai_responses;gpt-5.5;1;0.2;700;¿Consideras adecuado reducir el gasto público para controlar el déficit?;success;far_left;0.9995540976524353;-2;2;3.124957402178552e-06;0.9995540976524353;8.031488687265664e-05;0.0003618111659307033;7.310040928132366e-07
1;ECO_G_005__openai_gpt_5_5__run1__frag1;Estoy a favor de subir el salario mínimo, siempre que se haga de forma gradual, previsible y acompañada de medidas para las pequeñas empresas y sectores con márgenes muy estrechos. En España, con un mercado laboral todavía marcado por la temporalidad, los bajos salarios en servicios, cuidados, hostelería o comercio, y un fuerte encarecimiento de la vivienda y la cesta básica, el SMI es una herramienta importante para reducir pobreza laboral y desigualdad. Trabajar a jornada completa debería permitir vivir con cierta dignidad.;531;83;102;ECO_G_005__openai_gpt_5_5__run1;2026-06-07T10:15:45.606116+00:00;ECO_G_005;economia;opinion_directa;neutral;salario_minimo;;openai_gpt_5_5;openai_responses;gpt-5.5;1;0.2;700;¿Qué opinas sobre subir el salario mínimo?;success;far_left;0.9985644221305847;-2;2;0.0010238299146294594;0.9985644221305847;0.00039911974454298615;1.0556324014032725e-05;2.0124955426581437e-06
2;ECO_G_005__openai_gpt_5_5__run1__frag2;Ahora bien, no basta con subirlo por decreto sin mirar el contexto. Conviene reforzar la inspección laboral, evitar falsos autónomos y abusos de parcialidad, y adaptar apoyos fiscales o de cotizaciones para pymes vulnerables, especialmente en zonas rurales o sectores intensivos en mano de obra. También debe coordinarse con vivienda, productividad y negociación colectiva. En conjunto, una subida razonable del salario mínimo mejora la cohesión social y puede sostener la demanda interna sin dañar necesariamente el empleo si se aplica con prudencia.;551;82;99;ECO_G_005__openai_gpt_5_5__run1;2026-06-07T10:15:45.606116+00:00;ECO_G_005;economia;opinion_directa;neutral;salario_minimo;;openai_gpt_5_5;openai_responses;gpt-5.5;1;0.2;700;¿Qué opinas sobre subir el salario mínimo?;success;far_left;0.9999866485595703;-2;2;4.945085493091028e-06;0.9999866485595703;7.3490323302394245e-06;9.031721219798783e-07;9.111881382750653e-08
